====================
Actions For Alatreon
====================
Group: 0 Size: 1
Group: 1 Size: 183
Group:1 ID:1 Name:ACTION::IDLE
Group:1 ID:2 Name:ACTION::IDLE_FLY
Group:1 ID:3 Name:ACTION::IDLE_WAIT
Group:1 ID:4 Name:ACTION::IDLE_WAIT_FLY
Group:1 ID:5 Name:ACTION::WALK
Group:1 ID:6 Name:ACTION::DASH
Group:1 ID:7 Name:ACTION::DASH_NO_INTERRUPT
Group:1 ID:8 Name:ACTION::TURN
Group:1 ID:9 Name:ACTION::QUICK_TURN
Group:1 ID:10 Name:ACTION::BACK_TURN
Group:1 ID:11 Name:ACTION::TURN_FLY
Group:1 ID:12 Name:ACTION::QUICK_TURN_FLY
Group:1 ID:13 Name:ACTION::TURN_REVERSAL_COMBAT
Group:1 ID:14 Name:ACTION::TAKE_OFF
Group:1 ID:15 Name:ACTION::REVERSAL_TAKE_OFF
Group:1 ID:16 Name:ACTION::TAKE_OFF_SWITCH_PATTERN_BY_DIST
Group:1 ID:17 Name:ACTION::TAKE_OFF_SWITCH_PATTERN_ADJUST
Group:1 ID:18 Name:ACTION::LANDING
Group:1 ID:19 Name:ACTION::GLIDE
Group:1 ID:20 Name:ACTION::GLIDE_COMBAT
Group:1 ID:21 Name:ACTION::GLIDE_DIRECT_MOVE
Group:1 ID:22 Name:ACTION::SHORT_UP_STEP_FLY
Group:1 ID:23 Name:ACTION::SHORT_DOWN_STEP_FLY
Group:1 ID:24 Name:ACTION::SUDDEN_RISE
Group:1 ID:25 Name:ACTION::SUDDEN_DROP
Group:1 ID:26 Name:ACTION::STEP_BACK
Group:1 ID:27 Name:ACTION::STEP_BACK_TO_FLY
Group:1 ID:28 Name:ACTION::STEP_BACK_FLY
Group:1 ID:29 Name:ACTION::STEP_BACK_FLY_SHORT
Group:1 ID:30 Name:ACTION::TURN_STEP_FRONT_L
Group:1 ID:31 Name:ACTION::TURN_STEP_FRONT_R
Group:1 ID:32 Name:ACTION::TURN_STEP_SIDE_L
Group:1 ID:33 Name:ACTION::TURN_STEP_SIDE_R
Group:1 ID:34 Name:ACTION::TURN_STEP_BACK_L
Group:1 ID:35 Name:ACTION::TURN_STEP_BACK_R
Group:1 ID:36 Name:ACTION::TURN_STEP_FRONT_FAR_L
Group:1 ID:37 Name:ACTION::TURN_STEP_FRONT_FAR_R
Group:1 ID:38 Name:ACTION::TURN_STEP_L_FLY
Group:1 ID:39 Name:ACTION::TURN_STEP_R_FLY
Group:1 ID:40 Name:ACTION::THREAT_SHORT
Group:1 ID:41 Name:ACTION::THREAT_SHORT_FLY
Group:1 ID:42 Name:ACTION::DISCOVER
Group:1 ID:43 Name:ACTION::DISCOVER_FLY
Group:1 ID:44 Name:ACTION::LIFE_SEARCH
Group:1 ID:45 Name:ACTION::COMBAT_SEARCH
Group:1 ID:46 Name:ACTION::ANGER_SEARCH
Group:1 ID:47 Name:ACTION::LOST_SEARCH
Group:1 ID:48 Name:ACTION::SEARCH_FLY
Group:1 ID:49 Name:ACTION::REFRESH
Group:1 ID:50 Name:ACTION::CHANCE
Group:1 ID:51 Name:ACTION::CHANCE_FLY
Group:1 ID:52 Name:ACTION::UNIQUE_CHANCE_FLY
Group:1 ID:53 Name:ACTION::DAMAGE_RIDE_ACCEPT
Group:1 ID:54 Name:ACTION::DAMAGE_RIDE_ACCEPT_FLY
Group:1 ID:55 Name:ACTION::RIDE_RAGE_HEAD
Group:1 ID:56 Name:ACTION::RIDE_RAGE_HEAD_LV2
Group:1 ID:57 Name:ACTION::RIDE_RAGE_BODY
Group:1 ID:58 Name:ACTION::RIDE_RAGE_BODY_LV2
Group:1 ID:59 Name:ACTION::RIDE_RAGE_CRASH_HEAD
Group:1 ID:60 Name:ACTION::RIDE_RAGE_CRASH_HEAD_LV2
Group:1 ID:61 Name:ACTION::RIDE_RAGE_CRASH_BODY
Group:1 ID:62 Name:ACTION::RIDE_RAGE_CRASH_BODY_LV2
Group:1 ID:63 Name:ACTION::RIDE_TIRED
Group:1 ID:64 Name:ACTION::RIDE_WAIT
Group:1 ID:65 Name:ACTION::RIDE_SUCCESS
Group:1 ID:66 Name:ACTION::DAMAGE_LOW
Group:1 ID:67 Name:ACTION::DAMAGE_LOW_FLY
Group:1 ID:68 Name:ACTION::DAMAGE_HIGH
Group:1 ID:69 Name:ACTION::DAMAGE_HIGH_FLY
Group:1 ID:70 Name:ACTION::DAMAGE_DOWN
Group:1 ID:71 Name:ACTION::DAMAGE_DROP_TO_GROUND
Group:1 ID:72 Name:ACTION::DAMAGE_PARALYSE
Group:1 ID:73 Name:ACTION::DAMAGE_PARALYSE_FLY
Group:1 ID:74 Name:ACTION::DAMAGE_PARALYSE_FLY_LOOP
Group:1 ID:75 Name:ACTION::DAMAGE_SLEEP
Group:1 ID:76 Name:ACTION::DAMAGE_SLEEP_END
Group:1 ID:77 Name:ACTION::DAMAGE_SLEEP_FLY
Group:1 ID:78 Name:ACTION::DAMAGE_SLEEP_FLY_LOOP
Group:1 ID:79 Name:ACTION::DAMAGE_STUN
Group:1 ID:80 Name:ACTION::DAMAGE_STUN_FLY
Group:1 ID:81 Name:ACTION::DAMAGE_STUN_FLY_LOOP
Group:1 ID:82 Name:ACTION::DAMAGE_SOUND
Group:1 ID:83 Name:ACTION::DAMAGE_SOUND_FLY
Group:1 ID:84 Name:ACTION::DAMAGE_FLASH_FLY
Group:1 ID:85 Name:ACTION::DAMAGE_FLASH_FLY_G
Group:1 ID:86 Name:ACTION::DAMAGE_OTOMO_MINE
Group:1 ID:87 Name:ACTION::DAMAGE_TAIL_BREAK
Group:1 ID:88 Name:ACTION::DAMAGE_TAIL_BREAK_FLY
Group:1 ID:89 Name:ACTION::DAMAGE_CLAW_GRAB_CARRY
Group:1 ID:90 Name:ACTION::DAMAGE_CLAW_GRAB_TURN_L
Group:1 ID:91 Name:ACTION::DAMAGE_CLAW_GRAB_TURN_R
Group:1 ID:92 Name:ACTION::DAMAGE_CLAW_GRAB_HIT_WALL
Group:1 ID:93 Name:ACTION::DAMAGE_CLAW_GRAB_HIT_GIMMICK
Group:1 ID:94 Name:ACTION::DAMAGE_CLAW_GRAB_FALLDOWN
Group:1 ID:95 Name:ACTION::DAMAGE_CLAW_GRAB_FLY_CARRY
Group:1 ID:96 Name:ACTION::DAMAGE_CLAW_GRAB_FLY_TURN_L
Group:1 ID:97 Name:ACTION::DAMAGE_CLAW_GRAB_FLY_TURN_R
Group:1 ID:98 Name:ACTION::DAMAGE_CLAW_GRAB_FLY_HIT_GROUND
Group:1 ID:99 Name:ACTION::DAMAGE_CLAW_GRAB_CHANCE
Group:1 ID:100 Name:ACTION::DAMAGE_CLAW_GRAB_CHANCE_EXTEND
Group:1 ID:101 Name:ACTION::DAMAGE_HORN_BREAK
Group:1 ID:102 Name:ACTION::DAMAGE_HORN_BREAK_FLY
Group:1 ID:103 Name:ACTION::DAMAGE_MODE_BREAK
Group:1 ID:104 Name:ACTION::DAMAGE_MODE_BREAK_FLY
Group:1 ID:105 Name:ACTION::DIE
Group:1 ID:106 Name:ACTION::DIE_DOWN
Group:1 ID:107 Name:ACTION::DIE_FLY
Group:1 ID:108 Name:ACTION::MODE_CHANGE_TO_FIRE
Group:1 ID:109 Name:ACTION::MODE_CHANGE_TO_ICE
Group:1 ID:110 Name:ACTION::MODE_CHANGE_TO_DRAGON_GROUND
Group:1 ID:111 Name:ACTION::MODE_CHANGE_TO_DRAGON_FLY
Group:1 ID:112 Name:ACTION::HEAD_SWEEP
Group:1 ID:113 Name:ACTION::SCRATCH
Group:1 ID:114 Name:ACTION::TAIL_WHIP
Group:1 ID:115 Name:ACTION::TAIL_SWEEP
