====================
Actions For Velkhana
====================
Group: 0 Size: 1
Group: 1 Size: 287
Group:1 ID:1 Name:ACTION::IDLE
Group:1 ID:2 Name:ACTION::IDLE_FLY
Group:1 ID:3 Name:ACTION::IDLE_WAIT
Group:1 ID:4 Name:ACTION::IDLE_WAIT_FLY
Group:1 ID:5 Name:ACTION::WALK
Group:1 ID:6 Name:ACTION::DASH
Group:1 ID:7 Name:ACTION::ANGER_SEARCH_WALK
Group:1 ID:8 Name:ACTION::TURN
Group:1 ID:9 Name:ACTION::QUICK_TURN
Group:1 ID:10 Name:ACTION::BACK_TURN
Group:1 ID:11 Name:ACTION::TURN_FLY
Group:1 ID:12 Name:ACTION::QUICK_TURN_FLY
Group:1 ID:13 Name:ACTION::TAKE_OFF
Group:1 ID:14 Name:ACTION::REVERSAL_TAKE_OFF
Group:1 ID:15 Name:ACTION::TAKE_OFF_SWITCH_PATTERN_BY_DIST
Group:1 ID:16 Name:ACTION::TAKE_OFF_SWITCH_PATTERN_ADJUST
Group:1 ID:17 Name:ACTION::LANDING
Group:1 ID:18 Name:ACTION::GLIDE
Group:1 ID:19 Name:ACTION::GLIDE_COMBAT
Group:1 ID:20 Name:ACTION::GLIDE_DIRECT_MOVE
Group:1 ID:21 Name:ACTION::GLIDE_WALL_UP
Group:1 ID:22 Name:ACTION::GLIDE_WALL_DOWN
Group:1 ID:23 Name:ACTION::SHORT_UP_STEP_FLY
Group:1 ID:24 Name:ACTION::SHORT_DOWN_STEP_FLY
Group:1 ID:25 Name:ACTION::SUDDEN_RISE
Group:1 ID:26 Name:ACTION::SUDDEN_DROP
Group:1 ID:27 Name:ACTION::JUMP_UP
Group:1 ID:28 Name:ACTION::JUMP_DOWN
Group:1 ID:29 Name:ACTION::JUMP_ATTACK_WALL_UP
Group:1 ID:30 Name:ACTION::JUMP_ATTACK_WALL_DOWN
Group:1 ID:31 Name:ACTION::DASH_TIGHT
Group:1 ID:32 Name:ACTION::DASH_TIGHT_FLY
Group:1 ID:33 Name:ACTION::DASH_TIGHT_FLY_MAIN
Group:1 ID:34 Name:ACTION::DOUBLE_FLOOR_UP
Group:1 ID:35 Name:ACTION::DOUBLE_FLOOR_DOWN
Group:1 ID:36 Name:ACTION::STEP_BACK
Group:1 ID:37 Name:ACTION::STEP_BACK_TO_FLY
Group:1 ID:38 Name:ACTION::STEP_BACK_FLY
Group:1 ID:39 Name:ACTION::TURN_STEP_FRONT_L
Group:1 ID:40 Name:ACTION::TURN_STEP_FRONT_R
Group:1 ID:41 Name:ACTION::TURN_STEP_SIDE_L
Group:1 ID:42 Name:ACTION::TURN_STEP_SIDE_R
Group:1 ID:43 Name:ACTION::TURN_STEP_BACK_L
Group:1 ID:44 Name:ACTION::TURN_STEP_BACK_R
Group:1 ID:45 Name:ACTION::TURN_STEP_FRONT_FAR_L
Group:1 ID:46 Name:ACTION::TURN_STEP_FRONT_FAR_R
Group:1 ID:47 Name:ACTION::TURN_STEP_L_FLY
Group:1 ID:48 Name:ACTION::TURN_STEP_R_FLY
Group:1 ID:49 Name:ACTION::THREAT_SHORT
Group:1 ID:50 Name:ACTION::THREAT_SHORT_FLY
Group:1 ID:51 Name:ACTION::DISCOVER
Group:1 ID:52 Name:ACTION::DISCOVER_FLY
Group:1 ID:53 Name:ACTION::DISCOVER_ROAR
Group:1 ID:54 Name:ACTION::DISCOVER_ROAR_2
Group:1 ID:55 Name:ACTION::DISCOVER_ROAR_FLY
Group:1 ID:56 Name:ACTION::DISCOVER_ROAR_FLY_2
Group:1 ID:57 Name:ACTION::LIFE_SEARCH
Group:1 ID:58 Name:ACTION::COMBAT_SEARCH
Group:1 ID:59 Name:ACTION::ANGER_SEARCH
Group:1 ID:60 Name:ACTION::LOST_SEARCH
Group:1 ID:61 Name:ACTION::SEARCH_FLY
Group:1 ID:62 Name:ACTION::TIRED
Group:1 ID:63 Name:ACTION::REST
Group:1 ID:64 Name:ACTION::REST_END
Group:1 ID:65 Name:ACTION::SLEEP
Group:1 ID:66 Name:ACTION::SLEEP_END
Group:1 ID:67 Name:ACTION::MARKING
Group:1 ID:68 Name:ACTION::ADJUST_BITE
Group:1 ID:69 Name:ACTION::TAIL_STING
Group:1 ID:70 Name:ACTION::COMBO_TAIL_STING
Group:1 ID:71 Name:ACTION::COMBO_TAIL_STING_R
Group:1 ID:72 Name:ACTION::COMBO_FLY_TAIL_STING
Group:1 ID:73 Name:ACTION::COMBO_FLY_TAIL_STING_R
Group:1 ID:74 Name:ACTION::COMBO_FLY_TAIL_STING_TO_GROUND
Group:1 ID:75 Name:ACTION::COMBO_FLY_TAIL_STING_TO_GROUND_R
Group:1 ID:76 Name:ACTION::TAIL_SWING
Group:1 ID:77 Name:ACTION::LOST_TAIL_SWING
Group:1 ID:78 Name:ACTION::COMBO_TAIL_SWING
Group:1 ID:79 Name:ACTION::COMBO_TAIL_SWING_R
Group:1 ID:80 Name:ACTION::TAIL_SWING_FLY
Group:1 ID:81 Name:ACTION::BACK_STEP_PIERCE
Group:1 ID:82 Name:ACTION::BACK_STEP_PIERCE_2
Group:1 ID:83 Name:ACTION::FLY_TAIL_STING
Group:1 ID:84 Name:ACTION::FLY_TAIL_STING_FLY_START
Group:1 ID:85 Name:ACTION::FLY_TAIL_STING_TO_GROUND
Group:1 ID:86 Name:ACTION::FLY_TAIL_STING_FLY_START_TO_GROUND
Group:1 ID:87 Name:ACTION::TO_FLY_TAIL_STING_TO_LANDING_L
Group:1 ID:88 Name:ACTION::TO_FLY_TAIL_STING_TO_LANDING_R
Group:1 ID:89 Name:ACTION::RUSH
Group:1 ID:90 Name:ACTION::RUSH_2
Group:1 ID:91 Name:ACTION::RUSH_FLY
Group:1 ID:92 Name:ACTION::STRAIGHT_BREATH
Group:1 ID:93 Name:ACTION::COMBO_STRAIGHT_BREATH
Group:1 ID:94 Name:ACTION::COMBO_STRAIGHT_BREATH_R
Group:1 ID:95 Name:ACTION::SWEEP_90_BREATH
Group:1 ID:96 Name:ACTION::TO_SWEEP_90_BREATH_SHOOT
Group:1 ID:97 Name:ACTION::SWEEP_180_BREATH
Group:1 ID:98 Name:ACTION::SWEEP_180_BREATH_LF
Group:1 ID:99 Name:ACTION::SWEEP_180_BREATH_LB
Group:1 ID:100 Name:ACTION::SWEEP_180_BREATH_RF
Group:1 ID:101 Name:ACTION::SWEEP_180_BREATH_RB
Group:1 ID:102 Name:ACTION::SWEEP_180_BREATH_TURN
Group:1 ID:103 Name:ACTION::TO_SWEEP_180_BREATH_SHOOT
Group:1 ID:104 Name:ACTION::VERTICAL_BREATH
Group:1 ID:105 Name:ACTION::VERTICAL_BREATH_FLY
Group:1 ID:106 Name:ACTION::VERTICAL_BREATH_FLY_TO_GROUND
Group:1 ID:107 Name:ACTION::TO_VERTICAL_BREATH_FLY_LANDING_L
Group:1 ID:108 Name:ACTION::TO_VERTICAL_BREATH_FLY_LANDING_R
Group:1 ID:109 Name:ACTION::AREA_BREATH
Group:1 ID:110 Name:ACTION::ICE_WAVE_START
Group:1 ID:111 Name:ACTION::ICE_WAVE_START_FLY
Group:1 ID:112 Name:ACTION::TO_ICE_WAVE
Group:1 ID:113 Name:ACTION::ICE_DROP
Group:1 ID:114 Name:ACTION::ICE_BLOCK_BREATH
Group:1 ID:115 Name:ACTION::ICE_BLOCK_BREATH_TO_GROUND
Group:1 ID:116 Name:ACTION::TO_ICE_BLOCK_BREATH_LANDING_L
Group:1 ID:117 Name:ACTION::TO_ICE_BLOCK_BREATH_LANDING_R
Group:1 ID:118 Name:ACTION::FREEZE_BREATH
Group:1 ID:119 Name:ACTION::FREEZE_BREATH_FRONT
Group:1 ID:120 Name:ACTION::FREEZE_BREATH_MISS
